Accession,Female_Parent,Male_Parent,Cross_Type
CP98-1029,CP91-1980,CP94-1952,biparental
CP98-1119,CL61-0620,US87-1006,biparental
CP98-1325,CP90-1030,95P8,biparental
CP99-1893,CP87-1475,CP72-1210,biparental
CP99-1896,CP90-1204,CP90-1436,biparental
CPCL00-4027,,,
CPCL00-6756,,,
CPCL01-0271,,,
CPCL02-0796,CP80-1743,POLY01-8,biparental
CPCL02-0926,CP80-1743,CL92-0046,biparental
CPCL02-6848,CL92-2533,POLY01-9,biparental
CPCL02-7610,CL90-4500,CL88-4730,biparental
CPCL02-8021,CP96-1252,CL89-5457,biparental
CPCL02-8147,,,
CPCL02-8149,,,
CPCL05-1050,CL86-5687,CL95-5255,biparental
CPCL05-1102,CL89-5189,CL88-4730,
CPCL05-1201,CL87-2882,CL93-2679,
CPCL05-1791,CP96-1252,CL90-4725,biparental
CPCL06-3332,CL90-5017,CP88-1762,biparental
CPCL95-2287,,,
CPCL97-0393,,,
CPCL97-2730,,,
CPCL99-2103,,,
CPCL99-2651,,,
CPF-249,,,
CPF-250,,,
CR00-026,,,
CR03-0038,,,
CR04-0001,,,
CR04-001,,,
CR94-1006,,,
CR95-1007,,,
CR97-1008,,,
Crystalina,,,
CSSG-0032,,,
CSSG-0033,,,
D74,RoseBamboo,unknown S.  officinarum,biparental
EK28,,,
EPC54839,CL41-0223,POJ2878,biparental
EPC72174,PR980,CP38-0034,biparental
F31-0436,POJ2725,CP27-0035,biparental
